Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
8, 0.25, SIGMOID, 34.19393920486245, 35.92513694547583, 32.62923565606905, 34.249437268802446
8, 0.25, TANH, 37.78433557010007, 37.58275337496633, 37.849992747832225, 37.73902723096621
8, 0.25, RELU, 40.754349067372935, 36.73405002343648, 36.70307249753287, 38.063823862780765
8, 0.3, SIGMOID, 34.44823341926498, 35.44471952737302, 32.759405889621576, 34.21745294541986
8, 0.3, TANH, 37.7922658682403, 37.924065991616544, 37.81563676823919, 37.84398954269867
8, 0.3, RELU, 43.4596535065198, 37.17917567073471, 36.53566866680874, 39.05816594802108
8, 0.35, SIGMOID, 33.030401231032805, 35.0583217622792, 34.57261892023855, 34.22044730451685
8, 0.35, TANH, 37.752998210143105, 37.77238642478528, 37.74537294357235, 37.75691919283358
8, 0.35, RELU, 39.297856388119314, 40.146606978439564, 40.93677808884783, 40.12708048513557
8, 0.4, SIGMOID, 34.34088268821205, 34.47050817619444, 34.90178136986953, 34.571057411425336
8, 0.4, TANH, 37.581231691609325, 37.63711027152195, 37.600492284225226, 37.60627808245217
8, 0.4, RELU, 39.799561664532746, 41.57660885467879, 42.42677674259936, 41.2676490872703
8, 0.45, SIGMOID, 35.24336717877258, 33.715185591222735, 35.1026648212557, 34.687072530417005
8, 0.45, TANH, 37.30402881021427, 37.06144882117301, 37.144057008472934, 37.16984487995341
8, 0.45, RELU, 44.724470566316135, 37.94410875747228, 69.34420767364236, 50.67092899914359
8, 0.5, SIGMOID, 35.651752065786695, 35.840357721240984, 34.09461849790385, 35.19557609497718
8, 0.5, TANH, 37.042589275103104, 36.75423169521902, 36.89268749784177, 36.896502822721295
8, 0.5, RELU, 43.244536658930286, 42.500906744218476, 40.43939489034699, 42.061612764498584
9, 0.05, SIGMOID, 52.064881230841586, 51.96031388954996, 51.61497060876029, 51.880055243050606
9, 0.05, TANH, 33.99226332903046, 34.3651616087727, 34.10428427637559, 34.15390307139291
9, 0.05, RELU, 36.08419406914579, 36.471054750734474, 37.63541866581054, 36.730222495230265
9, 0.1, SIGMOID, 35.001646617398094, 35.51121761533315, 34.238056758201985, 34.916973663644406
9, 0.1, TANH, 44.9114538221821, 35.48056491284188, 39.42580514415256, 39.939274626392184
9, 0.1, RELU, 35.92423804953519, 38.88137179364305, 33.930522220101864, 36.2453773544267
9, 0.15, SIGMOID, 34.27870589918024, 35.25146453089918, 34.28603783309853, 34.60540275439265
9, 0.15, TANH, 36.737863974631765, 36.29957067378994, 36.54703589543852, 36.528156847953404
9, 0.15, RELU, 55.31665621858443, 37.54925155380939, 38.55145573943598, 43.805787837276604
9, 0.2, SIGMOID, 34.05689148340126, 33.03095605033376, 34.33924391171226, 33.80903048181576
9, 0.2, TANH, 37.566895041402894, 37.43663078926135, 37.46473987305428, 37.4894219012395
9, 0.2, RELU, 37.39250209136587, 33.812243959013266, 44.621187291924805, 38.60864444743464
9, 0.25, SIGMOID, 34.58919242143154, 34.93058307916913, 35.05531753540285, 34.85836434533451
9, 0.25, TANH, 37.5545856664706, 37.897484534520146, 37.75167770496404, 37.73458263531826
9, 0.25, RELU, 37.57349094032644, 35.920691363324366, 43.01646828052331, 38.83688352805804
9, 0.3, SIGMOID, 34.18785638746557, 34.08609742827944, 35.14813033830702, 34.47402805135068
9, 0.3, TANH, 37.765922387581476, 37.56539580660153, 37.79045512182561, 37.70725777200287
9, 0.3, RELU, 39.76536969477956, 38.34855952550823, 36.47874374892935, 38.19755765640571
9, 0.35, SIGMOID, 34.59033188368571, 35.29812518186092, 35.33226935315849, 35.0735754729017
9, 0.35, TANH, 37.781183196742646, 37.68662648572663, 37.701829749326095, 37.72321314393179
9, 0.35, RELU, 65.57372859503857, 41.210567879450416, 36.65852232198153, 47.81427293215685
9, 0.4, SIGMOID, 33.65635030169579, 35.663953642465486, 34.2960693811278, 34.5387911084297
9, 0.4, TANH, 37.74606733570396, 37.45642908914085, 37.482583909751334, 37.56169344486538
9, 0.4, RELU, 37.831172521062044, 41.45491912248851, 40.543940323127416, 39.94334398889266
9, 0.45, SIGMOID, 35.51704427985299, 35.056431081727055, 34.0932639927442, 34.888913118108086
9, 0.45, TANH, 37.23612557432714, 37.24214222410009, 37.49270220054761, 37.32365666632494
9, 0.45, RELU, 36.94868818574857, 39.11734866070141, 43.041535388082764, 39.70252407817758
9, 0.5, SIGMOID, 34.50294660832141, 35.247190894498594, 34.15526425949934, 34.635133920773114
9, 0.5, TANH, 37.03183545165752, 36.750819707033365, 36.99521901930824, 36.92595805933304
9, 0.5, RELU, 49.39910852759516, 45.85712865641393, 47.511778506781646, 47.589338563596904
10, 0.05, SIGMOID, 51.850566656944075, 51.898165072587254, 52.60101644719834, 52.116582725576556
10, 0.05, TANH, 34.04951570126827, 34.0881321807169, 35.51461650680647, 34.55075479626388
10, 0.05, RELU, 35.673481821848505, 39.27437967688174, 35.78464529939122, 36.910835599373826
10, 0.1, SIGMOID, 34.894526365685685, 33.53474406461302, 32.606072538832656, 33.678447656377124
10, 0.1, TANH, 39.43864896499353, 35.382155553637006, 35.622957100974645, 36.81458720653506
10, 0.1, RELU, 37.811093847028125, 37.28316277001327, 33.70153070995676, 36.26526244233272
10, 0.15, SIGMOID, 34.590716285241, 32.98980582843519, 34.41865426103069, 33.99972545823562
10, 0.15, TANH, 36.44305248744805, 36.568891378244146, 36.61263294793764, 36.541525604543274
10, 0.15, RELU, 56.07299969714023, 56.02125841601872, 35.374997081623526, 49.156418398260826
