Number of Hidden Nodes, Learning Rate, Improvements, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.15, SIGMOID, MOMENTUM, 33.42606382067003, 34.02049184262952, 33.285054751607994, 33.57720347163585
4, 0.15, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.5590973644502, 33.98086220946016, 33.86112692221609, 33.80036216537548
4, 0.15, SIGMOID, BOLD_DRIVER, 34.368316458529186, 33.64895569914851, 33.390953457366, 33.802741871681235
4, 0.15, TANH, , 36.46414378912634, 36.685733835906795, 37.509736614759454, 36.88653807993086
4, 0.15, TANH, MOMENTUM, 38.042042893165146, 38.0148853382426, 38.052765848272756, 38.03656469322683
4, 0.15, TANH, MOMENTUM - BOLD_DRIVER, 38.14362989533072, 38.03589589074226, 38.12269602026822, 38.10074060211374
4, 0.15, TANH, BOLD_DRIVER, 37.46208760152194, 37.76015567047043, 37.47350024874544, 37.56524784024594
4, 0.15, RELU, , 38.251583742570084, 51.49926191642787, 37.57523823553957, 42.44202796484584
4, 0.15, RELU, MOMENTUM, 64.87778229702083, 42.371933320768065, 53.542076232162295, 53.59726394998373
4, 0.15, RELU, MOMENTUM - BOLD_DRIVER, 58.26654670802852, 43.18536796271998, 50.136823837149194, 50.529579502632565
4, 0.15, RELU, BOLD_DRIVER, 53.698222132412475, 38.91962647210371, 60.40763077523291, 51.00849312658303
4, 0.2, SIGMOID, , 34.03191304646105, 33.56182309926646, 33.19386032795199, 33.595865491226505
4, 0.2, SIGMOID, MOMENTUM, 34.22728938418077, 33.67902349902032, 33.51244706792075, 33.806253317040614
4, 0.2, SIGMOID, MOMENTUM - BOLD_DRIVER, 35.12717858513122, 34.235516481341335, 34.269790593941835, 34.544161886804794
4, 0.2, SIGMOID, BOLD_DRIVER, 33.624371316452525, 33.482588073742406, 33.60769596465839, 33.571551784951104
4, 0.2, TANH, , 37.22324264969833, 37.696680944931934, 37.56870321536049, 37.496208936663585
4, 0.2, TANH, MOMENTUM, 37.82507593690002, 38.043313785206465, 37.63512219333355, 37.83450397181335
4, 0.2, TANH, MOMENTUM - BOLD_DRIVER, 37.55930994450089, 37.47889186448222, 37.7520267865148, 37.596742865165965
4, 0.2, TANH, BOLD_DRIVER, 38.06999183369316, 39.20383701912399, 37.97615001581011, 38.416659622875756
4, 0.2, RELU, , 36.58188694174454, 37.35671832350965, 37.38644552233897, 37.10835026253105
4, 0.2, RELU, MOMENTUM, 40.74563035464349, 38.3384838825047, 53.56355265144827, 44.215888962865485
4, 0.2, RELU, MOMENTUM - BOLD_DRIVER, 50.640955520666104, 39.90254911082504, 46.38652123996371, 45.64334195715162
4, 0.2, RELU, BOLD_DRIVER, 38.475533123232104, 41.117244579786615, 59.69367083615195, 46.42881617972356
4, 0.25, SIGMOID, , 33.41048885812752, 34.572864160929726, 33.71463308416017, 33.89932870107247
4, 0.25, SIGMOID, MOMENTUM, 33.87119542303524, 33.92621791460931, 33.29931725106621, 33.698910196236916
4, 0.25, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.063686173706984, 34.46444703737155, 32.51780529097116, 33.681979500683234
4, 0.25, SIGMOID, BOLD_DRIVER, 33.93877331663661, 34.27416548250935, 33.693837374806265, 33.96892539131741
4, 0.25, TANH, , 38.00476988386653, 38.010002127517595, 37.95803431154469, 37.99093544097627
4, 0.25, TANH, MOMENTUM, 36.94406094876483, 37.34625298895676, 37.34752891726321, 37.212614284994935
4, 0.25, TANH, MOMENTUM - BOLD_DRIVER, 38.90255672680847, 39.65355030260366, 39.132878414996156, 39.22966181480276
4, 0.25, TANH, BOLD_DRIVER, 36.92946959194006, 36.89735110114738, 37.230707200679845, 37.019175964589095
4, 0.25, RELU, , 55.86807893458064, 50.04269969864005, 44.42441406163166, 50.111730898284115
4, 0.25, RELU, MOMENTUM, 41.09396977816948, 52.09162926956839, 54.0926920225033, 49.09276369008038
4, 0.25, RELU, MOMENTUM - BOLD_DRIVER, 60.62189591304316, 60.550809872934444, 44.49911549741995, 55.223940427799185
4, 0.25, RELU, BOLD_DRIVER, 49.2756344264736, 53.214696661702256, 61.79404955607975, 54.76146021475187
4, 0.3, SIGMOID, , 35.29282246080018, 34.57474566347922, 33.454406464670456, 34.44065819631662
4, 0.3, SIGMOID, MOMENTUM, 33.85567674198447, 34.20835992269206, 34.43216261656588, 34.16539976041414
4, 0.3, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.8030463983981, 34.85354326892136, 33.713958321676195, 34.12351599633188
4, 0.3, SIGMOID, BOLD_DRIVER, 33.35157713870634, 33.90713154642046, 34.716926339510415, 33.99187834154574
4, 0.3, TANH, , 38.00876452903505, 38.17032583136081, 38.03283264688241, 38.07064100242609
4, 0.3, TANH, MOMENTUM, 53.727953991161556, 60.378681361610795, 60.36045838911254, 58.155697913961625
4, 0.3, TANH, MOMENTUM - BOLD_DRIVER, 37.92805016090841, 38.08796676811526, 39.57489975540366, 38.53030556147578
4, 0.3, TANH, BOLD_DRIVER, 37.18649752695241, 37.30423436553386, 37.2261141235672, 37.23894867201782
4, 0.3, RELU, , 53.19886109435009, 39.76328247614146, 44.565722097452955, 45.842621889314835
4, 0.3, RELU, MOMENTUM, 48.70995404189564, 40.40991186982939, 57.681459607636334, 48.93377517312046
4, 0.3, RELU, MOMENTUM - BOLD_DRIVER, 60.912833134356305, 47.16130653317106, 42.08600241416459, 50.05338069389732
4, 0.3, RELU, BOLD_DRIVER, 57.11018829549965, 50.193997858999936, 52.63554190993554, 53.31324268814504
4, 0.35, SIGMOID, , 32.63103398796681, 34.09260729400292, 33.5109963468603, 33.411545876276676
4, 0.35, SIGMOID, MOMENTUM, 34.49198212406281, 33.93428978192121, 33.870395598762876, 34.09888916824897
4, 0.35, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.39011450495325, 33.20377414585796, 33.97044753514776, 33.854778728652995
4, 0.35, SIGMOID, BOLD_DRIVER, 32.25458705367452, 33.56172367586512, 34.01616670571823, 33.27749247841928
4, 0.35, TANH, , 38.27209043362487, 37.99299575906929, 38.03101496227384, 38.098700384989336
4, 0.35, TANH, MOMENTUM, 63.918812462231614, 63.869425065485, 63.774676708809636, 63.85430474550875
4, 0.35, TANH, MOMENTUM - BOLD_DRIVER, 45.846685089757706, 37.846091409779646, 45.978830327089426, 43.223868942208924
4, 0.35, TANH, BOLD_DRIVER, 36.856797169846445, 37.037653262399346, 37.081836903367595, 36.992095778537795
4, 0.35, RELU, , 55.09821591630956, 53.21896100980113, 42.79337383553586, 50.370183587215514
4, 0.35, RELU, MOMENTUM, 61.38801443340306, 61.95443782453386, 55.119984440452875, 59.48747889946326
4, 0.35, RELU, MOMENTUM - BOLD_DRIVER, 62.880154889811, 46.0281499338792, 62.78977370189706, 57.23269284186242
4, 0.35, RELU, BOLD_DRIVER, 50.23797450524017, 51.40611556139787, 40.18441603303195, 47.27616869989
4, 0.4, SIGMOID, , 33.740744570225104, 33.56902747383605, 33.986116568648555, 33.76529620423657
4, 0.4, SIGMOID, MOMENTUM, 33.93903398242372, 33.740315894370596, 33.96600972266504, 33.881786533153125
4, 0.4, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.84273009889078, 33.83583090528356, 32.74806607110487, 33.4755423584264
4, 0.4, SIGMOID, BOLD_DRIVER, 34.03345047672483, 33.63165515189674, 35.43800250701469, 34.367702711878756
4, 0.4, TANH, , 37.94401711347834, 37.933296758791954, 37.641939858461626, 37.839751243577304
4, 0.4, TANH, MOMENTUM, 68.72194614331723, 68.30551911056587, 66.7844330814522, 67.93729944511176
4, 0.4, TANH, MOMENTUM - BOLD_DRIVER, 63.03808186007817, 62.906708527043754, 62.867892979134, 62.937561122085306
4, 0.4, TANH, BOLD_DRIVER, 36.89216941886446, 37.20113411115599, 36.876788938813014, 36.99003082294448
4, 0.4, RELU, , 43.221016415878104, 46.163659862098896, 52.76679694929629, 47.3838244090911
4, 0.4, RELU, MOMENTUM, 54.11860010468304, 53.89860083447569, 51.84528235840792, 53.287494432522216
4, 0.4, RELU, MOMENTUM - BOLD_DRIVER, 47.943804081157396, 60.34327785317451, 39.35203344242017, 49.21303845891736
4, 0.4, RELU, BOLD_DRIVER, 64.59686881273868, 50.24929472067387, 50.245053830231925, 55.0304057878815
4, 0.45, SIGMOID, , 33.012589398022826, 33.680430022454985, 35.30462086099602, 33.99921342715794
4, 0.45, SIGMOID, MOMENTUM, 34.496147813499604, 34.331574326589674, 34.66632466039785, 34.498015600162375
4, 0.45, SIGMOID, MOMENTUM - BOLD_DRIVER, 32.84253884462515, 34.99609804739148, 34.041037924656656, 33.959891605557765
4, 0.45, SIGMOID, BOLD_DRIVER, 33.05929152806041, 33.749824428567166, 32.444149664781136, 33.0844218738029
4, 0.45, TANH, , 37.462113368932975, 37.46716262436922, 37.57872054307913, 37.50266551212711
4, 0.45, TANH, MOMENTUM, 61.61968209976807, 61.9653721055111, 61.813016548098844, 61.79935691779267
4, 0.45, TANH, MOMENTUM - BOLD_DRIVER, 63.74523093262054, 63.888250198075816, 63.566185406022775, 63.733222178906374
4, 0.45, TANH, BOLD_DRIVER, 37.18631087831895, 37.107889926700906, 36.89559816590795, 37.0632663236426
4, 0.45, RELU, , 41.22459891513692, 47.05663519014903, 54.268440229935884, 47.516558111740615
4, 0.45, RELU, MOMENTUM, 67.6406045146016, 56.677672412326345, 66.59835003239795, 63.638875653108634
4, 0.45, RELU, MOMENTUM - BOLD_DRIVER, 159.22469553178223, 58.33549322526712, 158.26055233365133, 125.27358036356691
4, 0.45, RELU, BOLD_DRIVER, 56.99408025810213, 56.27944013211642, 46.767245080267195, 53.34692182349525
5, 0.05, SIGMOID, , 51.00564659229119, 52.044335341040664, 51.07127795589747, 51.373753296409774
5, 0.05, SIGMOID, MOMENTUM, 33.24123760620987, 35.17728895441853, 33.13191797779837, 33.85014817947559
5, 0.05, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.213896831106034, 34.50874973045392, 33.64243467042742, 34.12169374399579
5, 0.05, SIGMOID, BOLD_DRIVER, 47.137202816294845, 51.52151348130825, 50.7273814190165, 49.79536590553986
5, 0.05, TANH, , 34.047000524325455, 34.50479629927944, 33.95906536029497, 34.170287394633284
5, 0.05, TANH, MOMENTUM, 34.93248545820158, 35.21014273815459, 35.52931272016981, 35.22398030550866
5, 0.05, TANH, MOMENTUM - BOLD_DRIVER, 36.31625796697008, 36.636457947395655, 36.12036376395198, 36.35769322610591
5, 0.05, TANH, BOLD_DRIVER, 35.271269086197066, 35.114691557639574, 35.09249740388074, 35.15948601590579
5, 0.05, RELU, , 51.04599626849936, 38.386637497092174, 38.75034782144998, 42.72766052901384
5, 0.05, RELU, MOMENTUM, 52.86379022795251, 51.57646848599412, 49.29011992792249, 51.24345954728971
5, 0.05, RELU, MOMENTUM - BOLD_DRIVER, 39.926147995528474, 49.72664407976459, 41.43879778408976, 43.697196619794276
5, 0.05, RELU, BOLD_DRIVER, 37.99861064408963, 46.704975813393446, 40.723216598131806, 41.808934351871635
5, 0.1, SIGMOID, , 33.00065238895754, 33.77363396835187, 34.03724919601921, 33.60384518444287
5, 0.1, SIGMOID, MOMENTUM, 34.485330836176914, 33.27844133018946, 33.71063851493801, 33.824803560434795
5, 0.1, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.60441601488656, 35.133362187728494, 33.66510838427302, 34.46762886229603
5, 0.1, SIGMOID, BOLD_DRIVER, 34.21440058856493, 35.9255054027189, 33.5824315481532, 34.57411251314568
5, 0.1, TANH, , 35.65770114364927, 35.52480414647907, 35.36760918739479, 35.516704825841046
5, 0.1, TANH, MOMENTUM, 37.23873361418471, 37.47971783456732, 37.48064945704527, 37.399700301932434
5, 0.1, TANH, MOMENTUM - BOLD_DRIVER, 37.96398379348863, 37.98941119735682, 37.714780185273355, 37.88939172537294
5, 0.1, TANH, BOLD_DRIVER, 36.29132293764017, 36.3320204114096, 36.25708423936324, 36.293475862804335
5, 0.1, RELU, , 38.84195486263328, 41.013250029958925, 36.37890202200987, 38.74470230486736
5, 0.1, RELU, MOMENTUM, 37.571640454183346, 51.377052013100545, 57.683174517440165, 48.87728899490802
5, 0.1, RELU, MOMENTUM - BOLD_DRIVER, 38.26775826157021, 37.53451250031277, 52.72548426433613, 42.8425850087397
5, 0.1, RELU, BOLD_DRIVER, 49.63930164847622, 38.54302354190428, 49.278413258331824, 45.82024614957078
5, 0.15, SIGMOID, , 33.55022091802134, 34.17131401808362, 34.52057552664441, 34.08070348758312
5, 0.15, SIGMOID, MOMENTUM, 33.60880927957035, 34.73836334717823, 34.554683636056836, 34.30061875426847
5, 0.15, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.79680171012739, 33.90863136400277, 34.73928582553066, 34.14823963322027
5, 0.15, SIGMOID, BOLD_DRIVER, 33.65686301610009, 34.465841783360744, 34.386316087277265, 34.1696736289127
5, 0.15, TANH, , 36.778797119420226, 36.391962235103385, 36.7139167941379, 36.62822538288717
5, 0.15, TANH, MOMENTUM, 37.639811246173274, 38.18537216502631, 38.00618274312765, 37.94378871810908
5, 0.15, TANH, MOMENTUM - BOLD_DRIVER, 37.88138383428754, 38.03455581457583, 37.985945489421844, 37.967295046095074
5, 0.15, TANH, BOLD_DRIVER, 37.310929736024825, 45.728165516955514, 37.73032810439834, 40.25647445245956
5, 0.15, RELU, , 37.40984373110921, 49.179964580211006, 43.23294749533602, 43.27425193555208
5, 0.15, RELU, MOMENTUM, 42.045501944556506, 42.32111256428339, 50.70446450894584, 45.02369300592858
5, 0.15, RELU, MOMENTUM - BOLD_DRIVER, 39.3321928237462, 40.020684065606325, 40.31914284395639, 39.89067324443631
5, 0.15, RELU, BOLD_DRIVER, 39.342737624794815, 39.785578718444555, 36.50535615772495, 38.54455750032144
5, 0.2, SIGMOID, , 34.455380662497035, 34.90845399730442, 33.812525286958476, 34.39211998225331
5, 0.2, SIGMOID, MOMENTUM, 34.61291620352266, 33.41517467801503, 34.2159936930755, 34.081361524871056
5, 0.2, SIGMOID, MOMENTUM - BOLD_DRIVER, 35.17327515191824, 34.22775339937738, 34.36489650886196, 34.58864168671919
5, 0.2, SIGMOID, BOLD_DRIVER, 34.07884545951616, 34.382557626787154, 34.662880262801785, 34.37476111636837
5, 0.2, TANH, , 37.5387869832317, 37.42018409159815, 37.60627065388896, 37.52174724290628
5, 0.2, TANH, MOMENTUM, 38.00760046059707, 37.83476234882912, 37.70208048415735, 37.848147764527845
5, 0.2, TANH, MOMENTUM - BOLD_DRIVER, 37.73514665961649, 37.62699227356596, 37.618138945574884, 37.66009262625244
5, 0.2, TANH, BOLD_DRIVER, 37.84178083340309, 37.986716584537234, 37.89064891215183, 37.90638211003072
5, 0.2, RELU, , 36.415079952246586, 35.92290158683648, 42.28894778473984, 38.2089764412743
5, 0.2, RELU, MOMENTUM, 41.87939052330987, 41.00325583527221, 45.98081644838761, 42.95448760232323
5, 0.2, RELU, MOMENTUM - BOLD_DRIVER, 40.67935894870528, 41.183036211411455, 45.691379580222225, 42.517924913446315
5, 0.2, RELU, BOLD_DRIVER, 40.23082551172692, 35.212420217242304, 36.12331015212587, 37.188851960365035
5, 0.25, SIGMOID, , 34.6954314180199, 34.132735373684056, 34.843453320809516, 34.55720670417116
5, 0.25, SIGMOID, MOMENTUM, 34.5381585440251, 34.25970636457605, 33.06928982130893, 33.95571824330336
5, 0.25, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.766400328352695, 33.90046853826786, 34.03373025605175, 33.90019970755743
5, 0.25, SIGMOID, BOLD_DRIVER, 34.288262830130456, 34.795113517903076, 33.6407670934398, 34.241381147157774
5, 0.25, TANH, , 37.593855105851446, 37.673890319175584, 37.76391882081298, 37.67722141528
5, 0.25, TANH, MOMENTUM, 37.06646391267078, 37.16825317943551, 37.228810170893205, 37.1545090876665
5, 0.25, TANH, MOMENTUM - BOLD_DRIVER, 38.50737919802564, 37.999463424455044, 38.87036002857059, 38.459067550350426
5, 0.25, TANH, BOLD_DRIVER, 36.79843542786186, 37.386522478794255, 36.77695818407403, 36.987305363576716
5, 0.25, RELU, , 53.03697018187051, 53.40633069963853, 52.28739925239042, 52.910233377966485
5, 0.25, RELU, MOMENTUM, 47.79280989139107, 40.871918777927455, 56.19551755178185, 48.28674874036679
5, 0.25, RELU, MOMENTUM - BOLD_DRIVER, 39.1712872843584, 53.78365007919719, 41.95819671157395, 44.97104469170984
5, 0.25, RELU, BOLD_DRIVER, 44.455752021336075, 37.00964331754343, 55.34335658825351, 45.60291730904434
5, 0.3, SIGMOID, , 34.11254182382662, 33.434472299113, 35.59011457140106, 34.37904289811356
5, 0.3, SIGMOID, MOMENTUM, 35.003085732481956, 34.5417529331454, 34.03331705044545, 34.526051905357605
5, 0.3, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.397958815843516, 35.08594871872876, 34.55394391292527, 34.34595048249918
5, 0.3, SIGMOID, BOLD_DRIVER, 33.60416450239647, 33.69423429021763, 33.61329375662607, 33.63723084974672
5, 0.3, TANH, , 38.10225232726474, 37.91057522028501, 37.98137766166198, 37.99806840307058
5, 0.3, TANH, MOMENTUM, 60.326810712573945, 60.474976804079326, 54.379037364354545, 58.393608293669274
5, 0.3, TANH, MOMENTUM - BOLD_DRIVER, 59.16397638196953, 38.61835007194493, 38.21080719272065, 45.33104454887837
5, 0.3, TANH, BOLD_DRIVER, 36.78405045836984, 37.12382756212625, 36.81418901898334, 36.90735567982648
5, 0.3, RELU, , 35.56249831666476, 50.86657700349633, 53.14301153822376, 46.52402895279496
5, 0.3, RELU, MOMENTUM, 60.78277066224618, 55.75851432857881, 60.43090297335252, 58.99072932139251
5, 0.3, RELU, MOMENTUM - BOLD_DRIVER, 55.24464342123306, 45.54673291783949, 57.161785020267324, 52.651053786446624
5, 0.3, RELU, BOLD_DRIVER, 38.45060169676319, 43.511482157781245, 41.62366393871457, 41.195249264419665
5, 0.35, SIGMOID, , 35.25865469978618, 33.38818119970717, 35.157578822953624, 34.60147157414899
5, 0.35, SIGMOID, MOMENTUM, 34.338599646370795, 33.5840263200107, 33.90381408468384, 33.94214668368844
5, 0.35, SIGMOID, MOMENTUM - BOLD_DRIVER, 35.38803883761526, 34.78364948589671, 33.79506736572416, 34.65558522974538
5, 0.35, SIGMOID, BOLD_DRIVER, 33.8183550732376, 34.400967100256786, 33.967273896157415, 34.062198689883935
5, 0.35, TANH, , 37.927441478979475, 37.88489938272159, 38.01926193542066, 37.94386759904058
5, 0.35, TANH, MOMENTUM, 63.88649571124282, 63.973787165008986, 63.97054321534423, 63.94360869719868
5, 0.35, TANH, MOMENTUM - BOLD_DRIVER, 40.15084967786544, 43.273845687132024, 44.7989831163235, 42.74122616044033
5, 0.35, TANH, BOLD_DRIVER, 37.00351608176485, 36.99711897311739, 36.97266288242962, 36.991099312437285
5, 0.35, RELU, , 40.96927360151568, 58.05014789756254, 39.04543365771011, 46.021618385596106
5, 0.35, RELU, MOMENTUM, 67.03757186219359, 51.84337050931252, 50.744027369504195, 56.54165658033677
5, 0.35, RELU, MOMENTUM - BOLD_DRIVER, 58.48688464724828, 49.703490353625064, 51.631300258045314, 53.273891752972894
5, 0.35, RELU, BOLD_DRIVER, 62.78601324340568, 40.756132639538, 40.46989444726281, 48.004013443402165
5, 0.4, SIGMOID, , 33.502585488366165, 34.925419042402055, 33.580335428584206, 34.00277998645081
5, 0.4, SIGMOID, MOMENTUM, 33.64152725722124, 33.93922696112248, 33.908570906924936, 33.829775041756214
5, 0.4, SIGMOID, MOMENTUM - BOLD_DRIVER, 33.97469118522243, 35.81270628283693, 34.382613247969005, 34.72333690534279
5, 0.4, SIGMOID, BOLD_DRIVER, 34.7072401208117, 33.839256563748634, 34.63441111852555, 34.39363593436196
5, 0.4, TANH, , 38.01216187790113, 37.76952352197603, 37.86990657006779, 37.88386398998165
5, 0.4, TANH, MOMENTUM, 69.02200460334926, 68.33878477962278, 66.61139995162176, 67.99072977819793
5, 0.4, TANH, MOMENTUM - BOLD_DRIVER, 62.72373696941054, 62.80386884692696, 62.87470546546375, 62.80077042726708
5, 0.4, TANH, BOLD_DRIVER, 37.10310248267018, 36.8336907833612, 36.83153407271422, 36.92277577958186
5, 0.4, RELU, , 53.00164026027759, 39.347958726341254, 51.21746375343625, 47.85568758001836
5, 0.4, RELU, MOMENTUM, 82.23660129285896, 52.02356309568987, 50.89437234310892, 61.71817891055259
5, 0.4, RELU, MOMENTUM - BOLD_DRIVER, 63.48256389806433, 45.9574438345965, 63.7183488351006, 57.71945218925381
5, 0.4, RELU, BOLD_DRIVER, 51.14017864474668, 41.69209831988063, 41.4103310663931, 44.747536010340134
5, 0.45, SIGMOID, , 34.67477481889679, 34.060880475789745, 34.157370424081236, 34.29767523958926
5, 0.45, SIGMOID, MOMENTUM, 34.054501630627755, 33.784841735632334, 35.696516336874446, 34.51195323437818
5, 0.45, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.55053870485426, 33.90488597900142, 35.155669380078756, 34.53703135464482
5, 0.45, SIGMOID, BOLD_DRIVER, 34.97998432871303, 35.024470952132106, 34.91927006253674, 34.97457511446063
5, 0.45, TANH, , 37.140346495455454, 37.66185381027629, 37.55035472344472, 37.450851676392155
5, 0.45, TANH, MOMENTUM, 61.665596519386014, 61.734156803823836, 61.74611938911217, 61.71529090410734
5, 0.45, TANH, MOMENTUM - BOLD_DRIVER, 63.72569085135529, 63.84974651906895, 48.69210169123944, 58.7558463538879
5, 0.45, TANH, BOLD_DRIVER, 37.10709668382035, 36.82778141744773, 37.10169174886189, 37.01218995004333
5, 0.45, RELU, , 70.82309555429936, 39.61297947997243, 43.65415724816935, 51.363410760813714
5, 0.45, RELU, MOMENTUM, 65.3464931711332, 67.56684326611315, 70.34569054740656, 67.7530089948843
5, 0.45, RELU, MOMENTUM - BOLD_DRIVER, 158.03975386940937, 48.1462343513349, 55.264628743966746, 87.15020565490367
5, 0.45, RELU, BOLD_DRIVER, 54.24863890609519, 51.110585858902084, 94.01386873215228, 66.45769783238318
6, 0.05, SIGMOID, , 52.39934559357185, 51.986839749792615, 49.48831540598538, 51.29150024978329
6, 0.05, SIGMOID, MOMENTUM, 32.48062368194346, 34.38328678106797, 48.46910029256716, 38.4443369185262
6, 0.05, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.528137246151886, 34.360333384240924, 32.694303548929355, 33.86092472644072
6, 0.05, SIGMOID, BOLD_DRIVER, 50.4920848836338, 51.190270710080334, 49.61861703381326, 50.43365754250913
6, 0.05, TANH, , 33.947174886513324, 34.08078206116045, 33.97443879900159, 34.00079858222512
6, 0.05, TANH, MOMENTUM, 35.70953692752532, 35.458771339698885, 34.899167366758704, 35.355825211327634
6, 0.05, TANH, MOMENTUM - BOLD_DRIVER, 36.33132998363927, 36.078781771546026, 36.39963789303497, 36.26991654940676
6, 0.05, TANH, BOLD_DRIVER, 42.20546570914987, 35.17967953344767, 35.14104595041619, 37.508730397671236
6, 0.05, RELU, , 36.77694965337235, 37.877879111386775, 37.90580586177979, 37.52021154217963
6, 0.05, RELU, MOMENTUM, 48.25791659222257, 49.34281318900689, 35.14000320854241, 44.24691099659062
6, 0.05, RELU, MOMENTUM - BOLD_DRIVER, 56.03515840389272, 48.01270477607839, 36.277660302355535, 46.77517449410888
6, 0.05, RELU, BOLD_DRIVER, 37.969174007698236, 35.28962710270885, 41.24302569824328, 38.16727560288346
6, 0.1, SIGMOID, , 34.70589431747279, 34.01615877996537, 33.33816562908345, 34.02007290884054
6, 0.1, SIGMOID, MOMENTUM, 34.523152633896245, 33.81916502733565, 33.96801322840381, 34.10344362987857
6, 0.1, SIGMOID, MOMENTUM - BOLD_DRIVER, 35.0386068704023, 34.314938619252764, 33.061067368572544, 34.13820428607587
6, 0.1, SIGMOID, BOLD_DRIVER, 34.45361489217284, 33.51180170816986, 34.52535174917589, 34.16358944983953
6, 0.1, TANH, , 35.51477091118455, 35.61469566345879, 35.61370063835275, 35.581055737665366
6, 0.1, TANH, MOMENTUM, 37.35985987017623, 37.523992153260274, 37.373172550976726, 37.41900819147108
6, 0.1, TANH, MOMENTUM - BOLD_DRIVER, 37.73408169438345, 37.92334062382043, 38.00828695274127, 37.88856975698172
6, 0.1, TANH, BOLD_DRIVER, 36.55277112917655, 36.4166431742705, 36.09433468907205, 36.35458299750636
6, 0.1, RELU, , 53.85996783901269, 35.68353240759262, 34.764803920291904, 41.43610138896574
6, 0.1, RELU, MOMENTUM, 38.81623450951549, 38.8463053196732, 35.5406555611402, 37.734398463442965
6, 0.1, RELU, MOMENTUM - BOLD_DRIVER, 52.48210758588606, 39.159166566844895, 39.5275516449139, 43.72294193254828
6, 0.1, RELU, BOLD_DRIVER, 32.67854325020687, 35.76891422356682, 36.754577931025494, 35.067345134933056
